step,epoch,lr,train_loss,val_loss,elapsed_s,peak_memory_gb
25,0.05,9.989514131188559e-05,1.04698,1.09932,641.6,7.11
50,0.1,9.872052623234632e-05,1.03037,0.91151,1145.9,7.14
75,0.15,9.627106148213522e-05,0.81327,0.8658,1626.2,8.22
100,0.2,9.261084118279847e-05,0.84883,0.79704,2125.8,8.24
125,0.25,8.783564079088477e-05,0.7924,0.75885,2658.3,8.23
150,0.3,8.2070410981557e-05,0.81476,0.75845,3154.9,8.23
175,0.35,7.546600811643816e-05,0.81444,0.72969,3640.7,8.23
200,0.4,6.819524684817438e-05,0.83459,0.71575,4224.1,8.23
225,0.45,6.044837815156377e-05,0.85512,0.70766,4723.5,8.24
250,0.5,5.242811110572242e-05,0.81033,0.69997,5205.6,8.25
275,0.55,4.434430869023579e-05,0.6431,0.68744,5680.5,8.24
300,0.6,3.640849638818286e-05,0.76525,0.67495,6162.3,8.24
325,0.65,2.882832728712551e-05,0.66678,0.66702,6643.0,8.24
350,0.7,2.180214850745467e-05,0.68445,0.66762,7128.0,8.24
375,0.75,1.5513811136094787e-05,0.65227,0.65964,7598.5,8.25
400,0.8,1.012785947186397e-05,0.61863,0.65477,8090.9,8.24
425,0.85,5.785225463498828e-06,0.6933,0.65485,8568.3,8.24
450,0.9,2.5995410021864787e-06,0.71277,0.65288,9053.3,8.24
475,0.95,6.54164563305465e-07,0.70209,0.65187,9561.6,8.24
500,1.0,0.0,0.79433,0.6517,10027.3,8.24
